Make,Model,Year,Sales
acura,ILX,,13.9
acura,ILX,"Acura
ILX",13.414
acura,ILX,2021,14.685
acura,ILX,13.9,11.273
acura,ILX,2020,11.757
acura,ILX,13.414,14.597
acura,ILX,2019,18.531
acura,ILX,14.685,17.854
acura,ILX,2018,20.43
acura,ILX,11.273,12.251
acura,TSX,,4
acura,TSX,"Acura
TSX",35
acura,TSX,2016,6.287
acura,TSX,4,17.484
acura,TSX,2015,28.865
acura,TSX,35,30.935
acura,TSX,2014,32.076
acura,TSX,6.287,28.65
acura,TSX,2013,31.998
acura,TSX,17.484,33.037
acura,TSX,2012,38.035
acura,TSX,28.865,34.856
acura,TSX,2011,30.365
acura,TSX,30.935,18.932
acura,TLX,,26.1
acura,TLX,"Acura
TLX",21.785
acura,TLX,2021,26.548
acura,TLX,26.1,30.468
acura,TLX,2020,34.846
acura,TLX,21.785,37.156
acura,TLX,2019,47.08
acura,TLX,26.548,19.127
acura,RLX,,214
acura,RLX,"Acura
RLX",1.054
acura,RLX,2021,1.019
acura,RLX,214,1.931
acura,RLX,2020,1.237
acura,RLX,1.054,1.478
acura,RLX,2019,2.195
acura,RLX,1.019,3.413
acura,RLX,2018,5.014
acura,NSX,,124
acura,NSX,"Acura
NSX",128
acura,NSX,2021,238
acura,NSX,124,170
acura,NSX,2020,581
acura,NSX,128,269
acura,NSX,2019,2
acura,NSX,238,58
acura,NSX,2018,206
acura,NSX,170,178
acura,NSX,2017,221
acura,NSX,581,233
acura,NSX,2016,182
acura,NSX,269,221
acura,NSX,2007,238
acura,NSX,2,303
acura,NSX,2006,415
acura,NSX,58,460
acura,NSX,2005,884
acura,NSX,206,533
acura,NSX,2004,652
acura,NSX,178,1.154
acura,NSX,2003,1.94
acura,NSX,221,1.119
acura,RDX,,57.013
acura,RDX,"Acura
RDX",52.785
acura,RDX,2021,62.876
acura,RDX,57.013,63.58
acura,RDX,2020,51.295
acura,RDX,52.785,52.361
acura,RDX,2019,51.026
acura,RDX,62.876,44.865
acura,RDX,2018,44.75
acura,RDX,63.58,29.52
acura,RDX,2017,15.196
acura,RDX,51.295,14.975
acura,RDX,2016,10.153
acura,RDX,52.361,15.845
acura,RDX,2015,23.356
acura,RDX,51.026,9.164
acura,MDX,,60.057
acura,MDX,"Acura
MDX",47.816
acura,MDX,2021,52.019
acura,MDX,60.057,51.512
acura,MDX,2020,54.886
acura,MDX,47.816,55.495
acura,MDX,2019,58.208
acura,MDX,52.019,65.603
acura,MDX,2018,53.04
acura,MDX,51.512,50.854
acura,MDX,2017,43.271
acura,MDX,54.886,47.21
acura,MDX,2016,31.178
acura,MDX,55.495,45.377
acura,MDX,2015,58.606
acura,MDX,58.208,54.121
acura,MDX,2014,57.948
acura,MDX,65.603,59.505
acura,MDX,2013,57.281
acura,MDX,53.04,52.955
acura,MDX,2012,40.95
acura,MDX,50.854,9.75
acura,ZDX,,2
acura,ZDX,"Acura
ZDX",78
acura,ZDX,2015,361
acura,ZDX,2,775
acura,ZDX,2014,1.564
acura,ZDX,78,3.259
acura,ZDX,2013,79
acura,CL,,1
acura,CL,"Acura
CL",283
acura,CL,2005,6.593
acura,CL,1,12.072
acura,CL,2004,18.993
acura,CL,283,24.677
acura,CL,2003,20.968
acura,CL,6.593,26.644
acura,CL,2002,28.939
acura,CL,12.072,16.74
acura,TL,,88
acura,TL,"Acura
TL",10.616
acura,TL,2015,24.318
acura,TL,88,33.572
acura,TL,2014,31.237
acura,TL,10.616,34.049
acura,TL,2013,33.62
acura,TL,24.318,46.766
acura,TL,2012,58.545
acura,TL,33.572,71.348
acura,TL,2011,78.218
acura,TL,31.237,77.895
acura,TL,2010,56.77
acura,TL,34.049,60.764
acura,TL,2009,69.484
acura,TL,33.62,67.033
acura,TL,2008,56.566
acura,TL,46.766,31.883
acura,TL,2007,23.151
acura,TL,58.545,24.7
acura,TL,2006,16.539
acura,RL,,39
acura,RL,"Acura
RL",379
acura,RL,2013,1.096
acura,RL,39,2.037
acura,RL,2012,2.043
acura,RL,379,4.517
acura,RL,2011,6.262
acura,RL,1.096,11.501
acura,RL,2010,17.572
acura,RL,2.037,8.753
acura,RL,2009,6.829
acura,RL,2.043,9.392
acura,RL,2008,10.723
acura,RL,4.517,14.827
acura,RL,2007,13.366
acura,RL,6.262,15.024
acura,RL,2006,16.004
acura,RL,11.501,15.948
acura,RSX,,1
acura,RSX,"Acura
RSX",296
acura,RSX,2008,16.996
acura,RSX,1,20.809
acura,RSX,2007,21.94
acura,RSX,296,24.292
acura,RSX,2006,30.117
acura,RSX,16.996,16.401
acura,Vigor,,0
acura,Vigor,"Acura
Vigor",253
acura,Vigor,1996,8.469
acura,Vigor,0,10.016
acura,Vigor,1995,13.846
acura,Vigor,253,11.324
acura,Vigor,1994,0
acura,Legend,,4
acura,Legend,"Acura
Legend",629
acura,Legend,1997,18.159
acura,Legend,4,35.709
acura,Legend,1996,38.866
acura,Legend,629,49.926
acura,Legend,1995,65.689
acura,Legend,18.159,53.666
acura,Legend,1994,64.638
